Date,usdPRICE,usdopen,usdhigh,usdlow,Change ,Price,Open,High,Low
11 12 2014,77.325,77.18,77.325,77.17,0.03,1.189615385,1.187384615,1.189615385,1.187230769
11 13 2014,77.325,77.2,77.325,77.18,0,1.189615385,1.187692308,1.189615385,1.187384615
11 14 2014,77.325,77.2,77.325,77.18,0,1.189615385,1.187692308,1.189615385,1.187384615
11 17 2014,77.325,77.2,77.325,77.18,0,1.189615385,1.187692308,1.189615385,1.187384615
11 18 2014,77.325,77.2,77.325,77.18,0,1.189615385,1.187692308,1.189615385,1.187384615
11 19 2014,77.325,77.2,77.845,77.18,0,1.189615385,1.187692308,1.197615385,1.187384615
11 20 2014,77.325,77.2,77.325,77.18,0,1.189615385,1.187692308,1.189615385,1.187384615
11 21 2014,77.325,77.2,77.325,77.18,0,1.189615385,1.187692308,1.189615385,1.187384615
11 24 2014,77.305,77.2,77.325,77.18,-0.03,1.189307692,1.187692308,1.189615385,1.187384615
11 25 2014,77.305,77.18,77.675,77.18,0,1.189307692,1.187384615,1.195,1.187384615
11 26 2014,77.305,77.18,77.325,77.18,0,1.189307692,1.187384615,1.189615385,1.187384615
11 27 2014,77.305,77.18,77.305,77.18,0,1.189307692,1.187384615,1.189307692,1.187384615
11 28 2014,77.305,77.18,77.305,77.18,0,1.189307692,1.187384615,1.189307692,1.187384615
12 01 2014,77.325,77.18,77.325,77.18,0.03,1.189615385,1.187384615,1.189615385,1.187384615
12 02 2014,77.325,77.2,77.325,77.18,0,1.189615385,1.187692308,1.189615385,1.187384615
12 03 2014,77.305,77.2,77.325,77.18,-0.03,1.189307692,1.187692308,1.189615385,1.187384615
12 04 2014,77.325,77.18,77.325,77.18,0.03,1.189615385,1.187384615,1.189615385,1.187384615
12 05 2014,77.295,77.2,77.325,77.17,-0.04,1.189153846,1.187692308,1.189615385,1.187230769
12 08 2014,77.325,77.17,77.325,77.17,0.04,1.189615385,1.187230769,1.189615385,1.187230769
12 09 2014,77.325,77.2,77.325,77.18,0,1.189615385,1.187692308,1.189615385,1.187384615
12 10 2014,77.325,77.2,77.325,77.17,0,1.189615385,1.187692308,1.189615385,1.187230769
12 11 2014,77.295,77.2,77.325,77.17,-0.04,1.189153846,1.187692308,1.189615385,1.187230769
12 12 2014,77.325,77.17,77.325,77.15,0.04,1.189615385,1.187230769,1.189615385,1.186923077
12 15 2014,77.325,77.2,77.325,77.18,0,1.189615385,1.187692308,1.189615385,1.187384615
12 16 2014,77.325,77.2,77.325,77.2,0,1.189615385,1.187692308,1.189615385,1.187692308
12 17 2014,77.305,77.2,77.325,77.18,-0.03,1.189307692,1.187692308,1.189615385,1.187384615
