"Date","Price","Open","High","Low","Change %"
"Nov 26, 2014","77.305","77.180","77.325","77.180","0.00"
"Nov 25, 2014","77.305","77.180","77.675","77.180","0.00"
"Nov 24, 2014","77.305","77.200","77.325","77.180","-0.03"
"Nov 21, 2014","77.325","77.200","77.325","77.180","0.00"
"Nov 20, 2014","77.325","77.200","77.325","77.180","0.00"
"Nov 19, 2014","77.325","77.200","77.845","77.180","0.00"
"Nov 18, 2014","77.325","77.200","77.325","77.180","0.00"
"Nov 17, 2014","77.325","77.200","77.325","77.180","0.00"
"Nov 14, 2014","77.325","77.200","77.325","77.180","0.00"
"Nov 13, 2014","77.325","77.200","77.325","77.180","0.00"
"Nov 12, 2014","77.325","77.180","77.325","77.170","0.03"
"Nov 11, 2014","77.305","77.200","77.325","77.180","-0.03"
"Nov 10, 2014","77.325","77.200","77.325","77.180","0.00"
"Nov 07, 2014","77.325","77.200","77.325","77.180","0.00"
"Nov 06, 2014","77.325","77.200","77.325","77.180","0.00"
"Nov 05, 2014","77.325","77.200","77.325","77.180","0.00"
"Nov 04, 2014","77.325","77.270","77.395","77.200","-0.09"
"Nov 03, 2014","77.395","77.300","77.425","77.270","-0.04"
"Oct 31, 2014","77.425","77.300","77.425","77.300","0.00"
"Oct 30, 2014","77.425","77.300","77.425","77.300","0.00"
"Oct 29, 2014","77.425","77.300","77.425","77.300","0.00"
"Oct 28, 2014","77.425","77.300","77.485","77.300","0.00"
"Oct 27, 2014","77.425","77.330","77.475","77.300","-0.04"
"Oct 24, 2014","77.455","77.330","77.455","77.330","0.00"
"Oct 23, 2014","77.455","77.330","77.475","77.330","0.00"
"Oct 22, 2014","77.455","77.300","77.475","77.300","0.04"
"Oct 21, 2014","77.425","77.300","77.475","77.300","0.00"
"Oct 20, 2014","77.425","77.250","77.475","77.250","0.06"
"Oct 17, 2014","77.375","77.250","77.375","77.230","0.00"
"Oct 16, 2014","77.375","77.250","77.425","77.250","0.10"
"Oct 15, 2014","77.300","77.330","77.400","77.250","-0.10"
"Oct 14, 2014","77.380","77.320","77.400","77.320","0.01"
"Oct 13, 2014","77.370","77.330","77.400","77.320","-0.11"
"Oct 10, 2014","77.455","77.330","77.455","77.330","0.00"
"Oct 09, 2014","77.455","77.330","77.475","77.330","0.00"
"Oct 08, 2014","77.455","77.300","77.475","77.300","0.04"
"Oct 07, 2014","77.425","77.300","77.425","77.300","0.00"
"Oct 06, 2014","77.425","77.300","77.425","77.300","0.00"
"Oct 03, 2014","77.425","77.300","77.445","77.300","0.10"
"Oct 02, 2014","77.350","77.320","77.400","77.300","-0.03"
"Oct 01, 2014","77.370","77.320","77.400","77.320","-0.10"
"Sep 30, 2014","77.445","77.150","77.475","77.150","0.22"
"Sep 29, 2014","77.275","77.300","77.425","77.150","-0.13"
"Sep 26, 2014","77.375","77.210","77.375","77.180","-0.02"
"Sep 25, 2014","77.390","77.230","77.390","77.210","0.05"
"Sep 24, 2014","77.355","77.250","77.375","77.230","-0.03"
"Sep 23, 2014","77.375","77.270","77.395","77.250","-0.03"
"Sep 22, 2014","77.395","77.300","77.445","77.270","-0.04"
"Sep 19, 2014","77.425","77.320","77.445","77.300","-0.19"
"Sep 18, 2014","77.570","77.330","77.580","77.320","-0.01"
"Sep 17, 2014","77.580","77.330","77.580","77.330","0.20"
"Sep 16, 2014","77.425","77.000","77.755","77.000","0.21"
"Sep 15, 2014","77.260","77.000","77.260","77.000","0.01"
"Sep 12, 2014","77.250","77.330","77.580","77.000","-0.43"
"Sep 11, 2014","77.580","77.320","77.600","77.320","0.01"
"Sep 10, 2014","77.570","77.330","77.600","77.020","0.19"
"Sep 09, 2014","77.425","77.300","77.755","77.020","0.02"
"Sep 08, 2014","77.410","77.350","77.740","77.020","-0.24"
"Sep 05, 2014","77.600","77.350","77.600","77.350","0.00"
"Sep 04, 2014","77.600","77.350","77.600","77.350","0.00"
"Sep 03, 2014","77.600","77.350","77.600","77.350","0.00"
"Sep 02, 2014","77.600","77.350","77.600","77.020","0.00"
"Sep 01, 2014","77.600","77.350","77.660","77.350","0.43"
"Aug 29, 2014","77.270","77.030","77.280","77.020","-0.01"
"Aug 28, 2014","77.280","77.040","77.660","77.030","-0.01"
