Date,Price,Open,High,Low,Change 
04 24 2015,8.2143,8.1637,8.217,8.1555,0.61
04 27 2015,8.1737,8.2128,8.2297,8.1712,-0.49
04 28 2015,8.1357,8.1713,8.1897,8.1305,-0.46
04 29 2015,8.1876,8.1336,8.1933,8.1324,0.64
04 30 2015,8.1967,8.1837,8.2243,8.1781,0.11
05 01 2015,8.2196,8.1949,8.2198,8.19,0.28
05 04 2015,8.1926,8.2146,8.2172,8.1902,-0.33
05 05 2015,8.1753,8.1906,8.2064,8.1648,-0.21
05 06 2015,8.2067,8.1743,8.2157,8.166,0.38
05 07 2015,8.2633,8.2054,8.2929,8.2054,0.69
05 08 2015,8.2171,8.261,8.2841,8.2078,-0.56
05 11 2015,8.2566,8.2159,8.2584,8.214,0.48
05 12 2015,8.2752,8.2551,8.305,8.2537,0.23
05 13 2015,8.2578,8.2734,8.2913,8.2345,-0.21
05 14 2015,8.1776,8.2564,8.264,8.1754,-0.97
05 15 2015,8.1848,8.1785,8.214,8.1714,0.09
05 18 2015,8.2197,8.1831,8.2241,8.181,0.43
05 19 2015,8.2254,8.2204,8.2377,8.1924,0.07
05 20 2015,8.2038,8.2256,8.2423,8.1965,-0.26
05 21 2015,8.2004,8.2041,8.2232,8.1891,-0.04
05 22 2015,8.1905,8.1985,8.2137,8.181,-0.12
05 25 2015,8.1911,8.188,8.2157,8.188,0.01
05 26 2015,8.2521,8.1888,8.2581,8.188,0.74
05 27 2015,8.2267,8.2517,8.2776,8.224,-0.31
05 28 2015,8.2238,8.2244,8.2543,8.2192,-0.04
05 29 2015,8.2217,8.2254,8.2474,8.2111,-0.03
06 01 2015,8.1995,8.2181,8.2348,8.1893,-0.27
06 02 2015,8.2119,8.2,8.2476,8.1973,0.15
06 03 2015,8.2541,8.2112,8.2638,8.2075,0.51
06 04 2015,8.2517,8.2526,8.2892,8.2429,-0.03
06 05 2015,8.226,8.2497,8.2602,8.2203,-0.31
06 08 2015,8.2491,8.2244,8.2794,8.2232,0.28
06 09 2015,8.2557,8.2473,8.2664,8.2347,0.08
06 10 2015,8.2253,8.2538,8.2634,8.2232,-0.37
06 11 2015,8.2502,8.2259,8.2586,8.2219,0.3
06 12 2015,8.2677,8.2522,8.2801,8.2413,0.21
06 15 2015,8.2659,8.2659,8.2812,8.2534,-0.02
06 16 2015,8.2772,8.2636,8.2979,8.2529,0.14
06 17 2015,8.2569,8.2756,8.2921,8.2519,-0.25
06 18 2015,8.2009,8.2554,8.2574,8.198,-0.68
06 19 2015,8.1921,8.1996,8.239,8.1798,-0.11
06 22 2015,8.1952,8.1932,8.2043,8.1823,0.04
06 23 2015,8.2046,8.1947,8.2168,8.1905,0.11
06 24 2015,8.1943,8.2004,8.2178,8.1879,-0.13
06 25 2015,8.1931,8.1927,8.2114,8.1881,-0.01
06 26 2015,8.1848,8.1925,8.2137,8.1829,-0.1
06 29 2015,8.2179,8.1897,8.249,8.1826,0.4
06 30 2015,8.2053,8.2164,8.232,8.1963,-0.15
07 01 2015,8.1974,8.204,8.218,8.1935,-0.1
07 02 2015,8.1658,8.196,8.2151,8.1636,-0.39
07 03 2015,8.179,8.1642,8.1911,8.1633,0.16
07 06 2015,8.1596,8.1772,8.2092,8.1562,-0.24
07 07 2015,8.1854,8.1578,8.1987,8.1577,0.32
07 08 2015,8.1857,8.1838,8.21,8.1825,0
07 09 2015,8.1681,8.1834,8.2017,8.1626,-0.22
