pc_code,pc_description,unit,country_code,country_name,quantity,value,pc_type
O8,Two_And_Three_Wheelers,Nos,5423,U_S_A,4147,9.65237,Manifacutred_goods
O8,Two_And_Three_Wheelers,Nos,10027,Bangladesh_Pr,173621,128.31341,Manifacutred_goods
O8,Two_And_Three_Wheelers,Nos,10077,China_P_Rp,822,1.821043,Manifacutred_goods
O8,Two_And_Three_Wheelers,Nos,10179,Hong_Kong,173,0.394921,Manifacutred_goods
O8,Two_And_Three_Wheelers,Nos,10205,Japan,3121,6.966495,Manifacutred_goods
O8,Two_And_Three_Wheelers,Nos,10217,Korea_Rp,249,0.715852,Manifacutred_goods
O8,Two_And_Three_Wheelers,Nos,10245,Malaysia,4465,10.1272,Manifacutred_goods
O8,Two_And_Three_Wheelers,Nos,10273,Nepal,159270,111.15545,Manifacutred_goods
O8,Two_And_Three_Wheelers,Nos,10359,Singapore,4657,15.311715,Manifacutred_goods
O8,Two_And_Three_Wheelers,Nos,10437,Vietnam_Soc_Rep,669,1.136974,Manifacutred_goods
O8,Two_And_Three_Wheelers,Nos,11351,Saudi_Arab,558,0.542162,Manifacutred_goods
O8,Two_And_Three_Wheelers,Nos,11419,U_Arab_Emts,26956,18.741116,Manifacutred_goods
O8,Two_And_Three_Wheelers,Nos,13147,Germany,1016,1.410005,Manifacutred_goods
O8,Two_And_Three_Wheelers,Nos,13421,U_K,2807,7.05092,Manifacutred_goods
O9,"Computer_Hardware,_Peripherals",Na,5423,U_S_A,NA,45.731747,Manifacutred_goods
O9,"Computer_Hardware,_Peripherals",Na,10027,Bangladesh_Pr,NA,3.191721,Manifacutred_goods
O9,"Computer_Hardware,_Peripherals",Na,10077,China_P_Rp,NA,22.536914,Manifacutred_goods
O9,"Computer_Hardware,_Peripherals",Na,10179,Hong_Kong,NA,6.554288,Manifacutred_goods
O9,"Computer_Hardware,_Peripherals",Na,10205,Japan,NA,4.414384,Manifacutred_goods
O9,"Computer_Hardware,_Peripherals",Na,10217,Korea_Rp,NA,0.787507,Manifacutred_goods
O9,"Computer_Hardware,_Peripherals",Na,10245,Malaysia,NA,21.337005,Manifacutred_goods
O9,"Computer_Hardware,_Peripherals",Na,10273,Nepal,NA,0.842937,Manifacutred_goods
O9,"Computer_Hardware,_Peripherals",Na,10359,Singapore,NA,53.103247,Manifacutred_goods
O9,"Computer_Hardware,_Peripherals",Na,10437,Vietnam_Soc_Rep,NA,0.707188,Manifacutred_goods
O9,"Computer_Hardware,_Peripherals",Na,11351,Saudi_Arab,NA,0.68987,Manifacutred_goods
O9,"Computer_Hardware,_Peripherals",Na,11419,U_Arab_Emts,NA,25.974058,Manifacutred_goods
O9,"Computer_Hardware,_Peripherals",Na,13147,Germany,NA,3.400298,Manifacutred_goods
O9,"Computer_Hardware,_Peripherals",Na,13421,U_K,NA,35.257596,Manifacutred_goods
P1,Consumer_Electronics,Na,5423,U_S_A,NA,182.414375,Manifacutred_goods
P1,Consumer_Electronics,Na,7171,Guyana,NA,0.001766,Manifacutred_goods
P1,Consumer_Electronics,Na,10027,Bangladesh_Pr,NA,8.252709,Manifacutred_goods
P1,Consumer_Electronics,Na,10077,China_P_Rp,NA,10.982665,Manifacutred_goods
P1,Consumer_Electronics,Na,10179,Hong_Kong,NA,10.307853,Manifacutred_goods
P1,Consumer_Electronics,Na,10205,Japan,NA,1.740729,Manifacutred_goods
P1,Consumer_Electronics,Na,10217,Korea_Rp,NA,5.469804,Manifacutred_goods
P1,Consumer_Electronics,Na,10245,Malaysia,NA,5.028993,Manifacutred_goods
P1,Consumer_Electronics,Na,10273,Nepal,NA,4.941077,Manifacutred_goods
P1,Consumer_Electronics,Na,10359,Singapore,NA,18.652255,Manifacutred_goods
P1,Consumer_Electronics,Na,10437,Vietnam_Soc_Rep,NA,1.004977,Manifacutred_goods
P1,Consumer_Electronics,Na,11351,Saudi_Arab,NA,2.388965,Manifacutred_goods
P1,Consumer_Electronics,Na,11419,U_Arab_Emts,NA,55.681911,Manifacutred_goods
P1,Consumer_Electronics,Na,13147,Germany,NA,34.844691,Manifacutred_goods
P1,Consumer_Electronics,Na,13421,U_K,NA,23.60895,Manifacutred_goods
P2,Electronics_Components,Na,5423,U_S_A,NA,264.582072,Manifacutred_goods
P2,Electronics_Components,Na,7171,Guyana,NA,0.015488,Manifacutred_goods
P2,Electronics_Components,Na,10027,Bangladesh_Pr,NA,24.379704,Manifacutred_goods
P2,Electronics_Components,Na,10077,China_P_Rp,NA,83.573804,Manifacutred_goods
P2,Electronics_Components,Na,10179,Hong_Kong,NA,41.289485,Manifacutred_goods
P2,Electronics_Components,Na,10205,Japan,NA,49.032406,Manifacutred_goods
P2,Electronics_Components,Na,10217,Korea_Rp,NA,28.979225,Manifacutred_goods
P2,Electronics_Components,Na,10245,Malaysia,NA,22.672462,Manifacutred_goods
P2,Electronics_Components,Na,10273,Nepal,NA,12.35841,Manifacutred_goods
P2,Electronics_Components,Na,10359,Singapore,NA,104.554788,Manifacutred_goods
P2,Electronics_Components,Na,10437,Vietnam_Soc_Rep,NA,18.888401,Manifacutred_goods
P2,Electronics_Components,Na,11351,Saudi_Arab,NA,37.815539,Manifacutred_goods
P2,Electronics_Components,Na,11419,U_Arab_Emts,NA,86.951618,Manifacutred_goods
P2,Electronics_Components,Na,13147,Germany,NA,132.053323,Manifacutred_goods
P2,Electronics_Components,Na,13421,U_K,NA,175.523695,Manifacutred_goods
P3,Electronics_Instruments,Na,5423,U_S_A,NA,296.71606,Manifacutred_goods
P3,Electronics_Instruments,Na,7171,Guyana,NA,0.012215,Manifacutred_goods
P3,Electronics_Instruments,Na,10027,Bangladesh_Pr,NA,42.794014,Manifacutred_goods
P3,Electronics_Instruments,Na,10077,China_P_Rp,NA,151.544178,Manifacutred_goods
P3,Electronics_Instruments,Na,10179,Hong_Kong,NA,20.110934,Manifacutred_goods
P3,Electronics_Instruments,Na,10205,Japan,NA,44.979821,Manifacutred_goods
P3,Electronics_Instruments,Na,10217,Korea_Rp,NA,76.277051,Manifacutred_goods
P3,Electronics_Instruments,Na,10245,Malaysia,NA,29.277683,Manifacutred_goods
P3,Electronics_Instruments,Na,10273,Nepal,NA,18.026372,Manifacutred_goods
P3,Electronics_Instruments,Na,10359,Singapore,NA,110.556568,Manifacutred_goods
P3,Electronics_Instruments,Na,10437,Vietnam_Soc_Rep,NA,61.827241,Manifacutred_goods
