Date,Price,Open,High,Low,Change ,calamities
03 04 2014,61.905,62.135,62.155,61.835,-0.23,
03 05 2014,61.755,61.905,61.91,61.65,-0.24,
03 06 2014,61.115,61.535,61.535,61.105,-1.04,
03 07 2014,61.085,61.015,61.175,60.945,-0.05,
03 10 2014,60.845,61.255,61.335,60.79,-0.39,
03 11 2014,60.945,60.885,60.975,60.605,0.16,
03 12 2014,61.22,60.945,61.295,60.945,0.45,
3 13 2014,61.175,61.025,61.185,60.915,-0.07,
3 14 2014,61.205,61.415,61.555,61.055,0.05,
3 17 2014,61.09,61.13,61.13,61.07,-0.19,
3 18 2014,61.115,61.035,61.215,60.875,0.04,
3 19 2014,60.975,61.085,61.185,60.925,-0.23,
3 20 2014,61.34,61.39,61.39,61.07,0.6,
3 21 2014,60.9,61.195,61.205,60.9,-0.72,
3 24 2014,60.78,60.855,60.855,60.645,-0.2,
3 25 2014,60.485,60.605,60.605,60.435,-0.49,
3 26 2014,60.145,60.305,60.305,60.065,-0.56,
3 27 2014,60.245,60.245,60.355,60.125,0.17,
3 28 2014,59.89,60.19,60.19,59.69,-0.59,
3 31 2014,60.015,59.91,60.02,59.91,0.21,
04 01 2014,60.015,59.935,60.045,59.935,0,
04 02 2014,59.905,59.815,59.915,59.575,-0.18,
04 03 2014,60.17,59.955,60.3,59.835,0.44,
04 04 2014,60.085,60.355,60.398,60.075,-0.14,
04 07 2014,60.115,59.905,60.25,59.765,0.05,
04 08 2014,60.09,60.13,60.15,60.03,-0.04,
04 09 2014,60.145,59.975,60.155,59.825,0.09,
04 10 2014,60.075,60.045,60.295,60.035,-0.12,
04 11 2014,60.18,60.325,60.345,60.14,0.17,
4 14 2014,60.255,60.255,60.255,60.255,0.12,
4 15 2014,60.235,60.355,60.355,60.205,-0.03,
4 16 2014,60.375,60.305,60.425,60.185,0.23,
4 17 2014,60.295,60.295,60.505,60.27,-0.13,
4 18 2014,60.295,60.295,60.295,60.235,0,
4 21 2014,60.595,60.265,60.615,60.265,0.5,
4 22 2014,60.765,60.675,60.885,60.635,0.28,
4 23 2014,61.095,60.885,61.195,60.865,0.54,
4 24 2014,61.11,61.01,61.14,61.01,0.02,
4 25 2014,60.645,61.055,61.15,60.543,-0.76,terrorist attack
4 28 2014,60.65,60.605,60.74,60.433,0.01,terrorist attack
4 29 2014,60.425,60.615,60.635,60.315,-0.37,
4 30 2014,60.345,60.355,60.415,60.225,-0.13,
05 01 2014,60.27,60.27,60.27,60.27,-0.12,terrorist attack
05 02 2014,60.185,60.235,60.285,60.105,-0.14,
05 05 2014,60.24,60.09,60.25,60.008,0.09,
05 06 2014,59.985,60.075,60.245,59.975,-0.42,
05 07 2014,60.025,60.055,60.155,59.965,0.07,
05 08 2014,59.9,59.965,60.1,59.88,-0.21,
05 09 2014,59.965,60.065,60.1,59.87,0.11,
05 12 2014,60.055,59.905,60.115,59.513,0.15,terrorist attack
5 13 2014,59.465,59.965,59.965,59.46,-0.98,
5 14 2014,59.485,59.405,59.515,59.39,0.03,
5 15 2014,59.465,59.415,59.615,59.1,-0.03,
5 16 2014,58.585,59.365,59.365,58.585,-1.48,
5 19 2014,58.375,58.565,58.615,58.375,-0.36,
5 20 2014,58.59,58.595,58.825,58.525,0.37,
5 21 2014,58.695,58.705,58.875,58.635,0.18,
5 22 2014,58.285,58.615,58.7,58.265,-0.7,
5 23 2014,58.525,58.465,58.555,58.33,0.41,
5 26 2014,58.715,58.445,58.925,58.41,0.32,
5 27 2014,59.045,58.715,59.097,58.655,0.56,
5 28 2014,58.945,58.955,59.22,58.815,-0.17,
5 29 2014,58.92,58.935,59.085,58.795,-0.04,
5 30 2014,59.195,59.045,59.195,58.94,0.47,
06 02 2014,59.155,59.105,59.275,59.065,-0.07,
06 03 2014,59.34,59.08,59.432,59.08,0.31,
06 04 2014,59.28,59.435,59.465,59.215,-0.1,
06 05 2014,59.26,59.28,59.37,59.195,-0.03,
06 06 2014,59.175,59.165,59.315,59.105,-0.14,
06 09 2014,59.205,59.105,59.21,58.975,0.05,
06 10 2014,59.215,59.135,59.35,59.135,0.02,
06 11 2014,59.34,59.33,59.37,59.23,0.21,
06 12 2014,59.295,59.235,59.375,59.1,-0.08,
6 13 2014,59.71,59.31,59.81,59.3,0.7,
6 16 2014,60.185,59.715,60.24,59.715,0.8,
6 17 2014,60.33,60.115,60.525,60.035,0.24,
6 18 2014,60.3,60.215,60.545,60.065,-0.05,
6 19 2014,60.095,60.225,60.225,59.855,-0.34,
